open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1502928000000,301.13,312.18,298.0,302.0,7030.71034,1503014399999,2154655.3003566,4522,0,0,0
1503014400000,302.0,311.79,283.94,293.96,9537.84646,1503100799999,2858946.5093539,5658,0,0,0
1503100800000,293.31,299.9,278.0,290.91,2146.19773,1503187199999,620022.5898617,1795,0,0,0
1503187200000,289.41,300.53,282.85,299.1,2510.13871,1503273599999,742847.8945599,2038,0,0,0
1503273600000,299.1,346.52,294.6,323.29,5219.44542,1503359999999,1689472.341214,3925,0,0,0
1503360000000,321.04,330.41,144.21,309.8,7956.35088,1503446399999,2454425.8033137,6577,0,0,0
1503446400000,312.25,324.99,309.41,315.74,8665.72569,1503532799999,2753464.9450408,8540,0,0,0
1503532800000,315.74,328.04,314.01,323.42,6753.27192,1503619199999,2159417.1141537,6495,0,0,0
1503619200000,323.42,338.28,323.42,327.24,7125.96962,1503705599999,2354162.038294,7452,0,0,0
1503705600000,327.24,335.44,323.41,330.79,4877.68521,1503791999999,1601994.3773166,4400,0,0,0
1503792000000,332.18,348.13,330.73,348.13,4635.43715,1503878399999,1554477.3581603,4973,0,0,0
1503878400000,348.11,351.0,331.95,346.0,4279.1817,1503964799999,1463758.1691041,4526,0,0,0
1503964800000,347.0,377.6,346.0,374.7,3032.13425,1504051199999,1102069.6205809,3265,0,0,0
1504051200000,374.7,393.71,362.05,385.93,4446.59608,1504137599999,1679526.2125115,4812,0,0,0
1504137600000,384.64,389.36,377.78,384.79,4435.86855,1504223999999,1704441.3942666,4574,0,0,0
1504224000000,386.44,394.39,383.18,388.46,4198.68434,1504310399999,1635227.6137661,4124,0,0,0
1504310400000,388.58,394.32,320.08,343.14,8240.32724,1504396799999,2904008.4613861,8217,0,0,0
1504396800000,343.56,367.28,320.08,341.77,5253.62211,1504483199999,1801702.6178029,6153,0,0,0
1504483200000,339.29,344.55,267.94,283.77,6737.81061,1504569599999,2002446.181802,7403,0,0,0
1504569600000,286.81,321.52,235.55,312.09,8344.41924,1504655999999,2397490.9178386,8999,0,0,0
1504656000000,313.29,336.34,312.09,335.0,5486.30988,1504742399999,1793962.8584994,7089,0,0,0
1504742400000,335.01,342.5,320.17,334.49,3103.89745,1504828799999,1027135.6869524,2635,0,0,0
1504828800000,334.49,335.1,272.0,302.99,4915.75693,1504915199999,1494309.8866163,3227,0,0,0
1504915200000,300.01,307.0,281.66,296.74,2740.58822,1505001599999,813750.3589359,1956,0,0,0
1505001600000,296.72,302.78,261.03,293.5,4156.45099,1505087999999,1181903.7721999,2494,0,0,0
1505088000000,293.51,304.98,285.21,297.3,4829.64647,1505174399999,1436811.8161569,3490,0,0,0
1505174400000,297.78,316.46,286.01,293.96,5176.31402,1505260799999,1573452.4124519,5279,0,0,0
1505260800000,293.93,294.5,257.05,276.91,6451.22836,1505347199999,1761080.8976069,4527,0,0,0
1505347200000,275.76,283.77,215.0,215.21,12601.95676,1505433599999,3110767.7805647,8166,0,0,0
1505433600000,217.0,270.93,192.0,253.0,14223.8953,1505519999999,3319311.826735,9198,0,0,0
1505520000000,255.99,271.81,235.51,249.31,10362.06011,1505606399999,2647152.3723708,8859,0,0,0
1505606400000,249.32,264.39,239.02,257.55,4614.53337,1505692799999,1149704.2949294,5277,0,0,0
1505692800000,257.53,306.22,257.11,294.57,4125.97051,1505779199999,1182937.633574,3440,0,0,0
1505779200000,296.0,300.0,277.41,284.0,1869.90852,1505865599999,535773.5652001,1896,0,0,0
1505865600000,284.01,294.0,275.91,282.0,1060.56734,1505951999999,302739.7337531,1431,0,0,0
1505952000000,285.1,287.0,252.1,257.0,1912.55583,1506038399999,516193.1970608,2751,0,0,0
1506038400000,258.0,272.97,253.01,264.0,1464.5125,1506124799999,382962.217943,2144,0,0,0
1506124800000,259.99,286.23,255.11,285.93,2824.33572,1506211199999,788810.3244239,3901,0,0,0
1506211200000,286.5,294.61,275.0,282.0,5575.54422,1506297599999,1582877.4871329,8022,0,0,0
1506297600000,282.0,299.0,281.34,294.42,5870.48035,1506383999999,1705551.9921018,9165,0,0,0
1506384000000,294.42,296.81,286.24,287.9,4566.92804,1506470399999,1332125.1654396,7329,0,0,0
1506470400000,289.91,313.0,286.13,309.74,5518.10382,1506556799999,1641896.8743651,8208,0,0,0
1506556800000,309.81,311.81,296.89,302.44,6600.90922,1506643199999,2009233.8887105,10534,0,0,0
1506643200000,302.44,303.0,274.0,292.22,11089.19902,1506729599999,3213725.0903979,13098,0,0,0
1506729600000,292.62,307.49,292.22,304.36,4020.60795,1506815999999,1214456.8380462,8168,0,0,0
1506816000000,305.13,306.0,294.0,303.95,5060.05758,1506902399999,1518988.30299,8900,0,0,0
1506902400000,303.94,305.0,295.0,296.5,3710.83747,1506988799999,1116501.2248122,7454,0,0,0
1506988800000,298.15,301.99,283.18,292.48,5546.85702,1507075199999,1622460.7267746,9327,0,0,0
1507075200000,292.47,297.97,288.0,291.99,4014.88792,1507161599999,1176260.2171869,7233,0,0,0
1507161600000,290.0,297.44,285.53,294.81,3412.39016,1507247999999,994768.4954065,6125,0,0,0
1507248000000,294.78,310.8,293.78,310.8,3541.02359,1507334399999,1063779.3539251,6064,0,0,0
1507334400000,309.9,318.5,303.6,311.01,2165.79076,1507420799999,672026.6685328,4289,0,0,0
1507420800000,311.08,317.07,309.0,311.07,2960.93198,1507507199999,923989.787554,6247,0,0,0
1507507200000,311.13,312.13,286.65,297.19,4885.37863,1507593599999,1462524.6249531,8680,0,0,0
1507593600000,297.35,308.56,293.0,298.64,6749.27468,1507679999999,2028540.4729273,9392,0,0,0
1507680000000,300.88,305.5,298.02,304.01,3724.6863,1507766399999,1125331.5033572,4079,0,0,0
1507766400000,304.01,310.0,302.71,303.99,7827.75596,1507852799999,2397065.1633671,4956,0,0,0
1507852800000,303.52,353.96,297.0,337.96,17925.36585,1507939199999,5832987.2559101,9898,0,0,0
1507939200000,337.96,349.8,335.0,342.0,7731.96469,1508025599999,2655702.1145455,5703,0,0,0
1508025600000,342.0,348.0,316.17,337.96,10011.34708,1508111999999,3326752.5971166,6822,0,0,0
1508112000000,337.5,354.0,332.78,335.19,8663.47097,1508198399999,2956522.0417874,6586,0,0,0
1508198400000,335.18,336.58,312.65,315.19,8146.74356,1508284799999,2638150.8892904,6837,0,0,0
1508284800000,315.19,318.0,284.68,309.7,12908.0454,1508371199999,3915770.1544675,9801,0,0,0
1508371200000,311.52,315.0,300.0,308.66,8678.74739,1508457599999,2675399.8602425,6769,0,0,0
1508457600000,308.66,311.18,302.0,304.51,8739.31764,1508543999999,2667391.8997551,6812,0,0,0
1508544000000,304.51,305.34,290.0,298.94,8591.63121,1508630399999,2558677.4115428,6343,0,0,0
1508630400000,298.99,306.99,290.0,293.79,7173.06893,1508716799999,2120546.5470225,5828,0,0,0
1508716800000,293.78,294.6,272.2,281.09,9658.78404,1508803199999,2743010.9877028,6524,0,0,0
1508803200000,282.27,310.0,275.5,297.38,14066.67924,1508889599999,4253110.3195806,8026,0,0,0
1508889600000,295.43,300.0,281.0,294.49,9703.09261,1508975999999,2840747.3846263,6796,0,0,0
1508976000000,294.1,299.76,291.03,294.71,7813.02717,1509062399999,2306446.3337328,6557,0,0,0
1509062400000,294.72,298.1,292.03,296.33,6272.14802,1509148799999,1852704.4161056,5899,0,0,0
1509148800000,296.14,297.0,290.1,291.87,5848.86589,1509235199999,1715796.7941936,5589,0,0,0
1509235200000,291.86,309.4,291.86,305.0,9019.13315,1509321599999,2716332.8153886,6947,0,0,0
1509321600000,305.0,316.0,302.1,307.25,8946.12026,1509407999999,2751568.6365363,6421,0,0,0
1509408000000,305.95,309.99,304.01,304.9,7640.41182,1509494399999,2347542.8648317,7744,0,0,0
1509494400000,304.89,305.9,286.34,287.01,9843.1666,1509580799999,2948801.7063006,12038,0,0,0
1509580800000,287.3,293.0,274.73,283.12,13423.8572,1509667199999,3810829.6596733,13600,0,0,0
1509667200000,283.12,307.0,282.0,304.08,8194.03465,1509753599999,2400297.6347816,8973,0,0,0
1509753600000,304.09,304.99,292.11,298.04,7828.41744,1509839999999,2333944.7608054,9036,0,0,0
1509840000000,298.1,302.14,293.13,295.53,6638.42119,1509926399999,1974433.013513,7513,0,0,0
1509926400000,295.19,305.58,290.11,297.97,7515.50103,1510012799999,2233482.6122626,7898,0,0,0
1510012800000,297.25,303.52,287.0,291.78,9418.57881,1510099199999,2765345.5827772,8788,0,0,0
1510099200000,291.31,320.0,290.02,303.02,15961.85772,1510185599999,4839176.806813,14402,0,0,0
1510185600000,303.6,329.0,299.5,317.87,11151.29946,1510271999999,3527294.7503346,8208,0,0,0
1510272000000,318.5,322.65,285.82,293.5,15597.16557,1510358399999,4762536.5850516,9253,0,0,0
1510358400000,293.52,318.0,291.91,310.02,10850.16279,1510444799999,3282643.0277861,8646,0,0,0
1510444800000,310.87,316.99,281.01,305.24,21123.15319,1510531199999,6345603.7706789,13661,0,0,0
1510531200000,304.0,318.88,303.7,312.99,15551.67434,1510617599999,4852265.3955649,9066,0,0,0
1510617600000,313.0,337.54,312.94,335.61,17709.2227,1510703999999,5756893.4527936,11711,0,0,0
1510704000000,335.6,339.0,324.0,331.33,15597.16131,1510790399999,5178507.4572747,10036,0,0,0
1510790400000,330.98,334.75,321.41,331.49,14145.71696,1510876799999,4638262.2625835,9493,0,0,0
1510876800000,331.49,334.6,323.84,331.23,18042.02544,1510963199999,5954175.9400211,11548,0,0,0
