open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1502928000000,4261.48,4485.39,4200.74,4285.08,795.150377,1503014399999,3454770.05073206,3427,0,0,0
1503014400000,4285.08,4371.52,3938.77,4108.37,1199.888264,1503100799999,5086958.30617151,5233,0,0,0
1503100800000,4108.37,4184.69,3850.0,4139.98,381.309763,1503187199999,1549483.73542151,2153,0,0,0
1503187200000,4120.98,4211.08,4032.62,4086.29,467.083022,1503273599999,1930364.39032646,2321,0,0,0
1503273600000,4069.13,4119.62,3911.79,4016.0,691.74306,1503359999999,2797231.71402728,3972,0,0,0
1503360000000,4016.0,4104.82,3400.0,4040.0,966.684858,1503446399999,3752505.77214051,6494,0,0,0
1503446400000,4040.0,4265.8,4013.89,4114.01,1001.136565,1503532799999,4148686.46581968,8629,0,0,0
1503532800000,4147.0,4371.68,4085.01,4316.01,787.418753,1503619199999,3296476.41316476,6247,0,0,0
1503619200000,4316.01,4453.91,4247.48,4280.68,573.61274,1503705599999,2484637.34936327,6554,0,0,0
1503705600000,4280.71,4367.0,4212.41,4337.44,228.108068,1503791999999,977865.7333321,2260,0,0,0
1503792000000,4332.51,4400.0,4285.54,4310.01,350.692585,1503878399999,1521580.06202557,3670,0,0,0
1503878400000,4310.01,4399.82,4124.54,4386.69,603.841616,1503964799999,2591660.52579953,4349,0,0,0
1503964800000,4353.65,4625.85,4313.55,4587.48,603.545028,1504051199999,2682483.73582991,4159,0,0,0
1504051200000,4564.52,4647.51,4416.01,4555.14,808.468771,1504137599999,3683714.68666123,5551,0,0,0
1504137600000,4555.14,4745.42,4555.14,4724.89,556.956802,1504223999999,2579878.72401184,4161,0,0,0
1504224000000,4689.89,4885.55,4654.88,4834.91,560.666366,1504310399999,2665165.55924616,4000,0,0,0
1504310400000,4796.16,4939.19,4286.87,4472.14,929.148595,1504396799999,4257723.944817,7475,0,0,0
1504396800000,4508.5,4714.76,4298.33,4509.08,691.216198,1504483199999,3121052.75230181,6022,0,0,0
1504483200000,4505.0,4527.49,3972.51,4100.11,1394.644614,1504569599999,5909947.49008974,9317,0,0,0
1504569600000,4106.97,4484.99,3603.0,4366.47,1228.938157,1504655999999,5083453.18675071,10084,0,0,0
1504656000000,4366.49,4662.87,4335.26,4619.77,807.363726,1504742399999,3626346.05544323,7956,0,0,0
1504742400000,4619.77,4788.59,4438.19,4691.61,500.429975,1504828799999,2305795.13638315,3070,0,0,0
1504828800000,4691.66,4735.39,4028.93,4282.8,1132.255046,1504915199999,4866527.22639337,4733,0,0,0
1504915200000,4282.8,4426.62,4150.06,4258.81,658.782952,1505001599999,2815383.46568698,3777,0,0,0
1505001600000,4258.81,4283.0,3801.0,4130.37,660.373275,1505087999999,2700371.80819211,3435,0,0,0
1505088000000,4153.62,4334.43,4098.91,4208.47,699.989065,1505174399999,2956842.76250147,4228,0,0,0
1505174400000,4208.6,4394.59,4040.8,4163.72,879.630319,1505260799999,3725190.62328952,6501,0,0,0
1505260800000,4159.72,4165.38,3760.0,3944.69,913.462545,1505347199999,3570365.92571669,5019,0,0,0
1505347200000,3944.0,3993.0,3165.13,3189.02,1665.021543,1505433599999,5914261.40460825,9066,0,0,0
1505433600000,3188.01,3856.0,2817.0,3700.0,1968.866492,1505519999999,6588767.18669446,10445,0,0,0
1505520000000,3674.01,3950.0,3470.66,3714.95,1297.563953,1505606399999,4804878.24721283,8809,0,0,0
1505606400000,3685.23,3748.21,3499.02,3699.99,682.17121,1505692799999,2466490.27859466,6355,0,0,0
1505692800000,3690.0,4123.2,3690.0,4035.01,1030.006455,1505779199999,4069033.05715863,8220,0,0,0
1505779200000,4060.0,4089.97,3830.91,3910.04,902.332129,1505865599999,3558315.19743872,7342,0,0,0
1505865600000,3910.04,4046.08,3820.0,3900.0,720.935076,1505951999999,2839584.45308804,7231,0,0,0
1505952000000,3889.99,3910.0,3567.0,3609.99,1001.654084,1506038399999,3757043.07821264,8714,0,0,0
1506038400000,3592.84,3750.0,3505.55,3595.87,838.966425,1506124799999,3031771.43292849,8152,0,0,0
1506124800000,3595.88,3817.19,3542.91,3780.0,752.792791,1506211199999,2799706.99951511,8402,0,0,0
1506211200000,3779.54,3789.99,3622.76,3660.02,661.63639,1506297599999,2445788.43620041,8724,0,0,0
1506297600000,3660.02,3979.87,3653.69,3920.75,727.994713,1506383999999,2784170.85318322,9740,0,0,0
1506384000000,3928.0,3976.99,3850.05,3882.35,526.727987,1506470399999,2061195.57868009,7971,0,0,0
1506470400000,3882.36,4249.94,3872.81,4193.0,628.170966,1506556799999,2554629.81447101,8373,0,0,0
1506556800000,4192.11,4300.0,4101.0,4174.5,849.785325,1506643199999,3553178.87037354,11426,0,0,0
1506643200000,4178.98,4263.86,3952.01,4174.69,1602.309565,1506729599999,6571746.35900076,14834,0,0,0
1506729600000,4175.0,4380.0,4138.1,4378.51,720.353183,1506815999999,3088354.40084536,9324,0,0,0
1506816000000,4378.49,4406.52,4240.04,4378.48,726.963685,1506902399999,3137143.89184457,9816,0,0,0
1506902400000,4400.0,4561.63,4360.0,4380.0,655.756974,1506988799999,2905282.77570845,8185,0,0,0
1506988800000,4380.0,4467.33,4180.8,4310.0,1082.323563,1507075199999,4627422.74283879,12379,0,0,0
1507075200000,4314.9,4373.0,4142.0,4208.59,868.465101,1507161599999,3676415.10054891,11006,0,0,0
1507161600000,4208.59,4355.0,4110.0,4292.43,779.138638,1507247999999,3295532.82397779,9158,0,0,0
1507248000000,4318.99,4417.0,4292.0,4369.0,506.529176,1507334399999,2212035.12414239,6546,0,0,0
1507334400000,4369.0,4479.5,4312.56,4423.0,297.5975,1507420799999,1302533.21459281,4804,0,0,0
1507420800000,4425.0,4658.0,4425.0,4640.0,518.462004,1507507199999,2347356.46944654,7580,0,0,0
1507507200000,4640.0,4889.98,4550.0,4786.95,646.463145,1507593599999,3040508.90436387,10372,0,0,0
1507593600000,4786.95,4960.0,4680.59,4783.06,1043.221773,1507679999999,5044283.86347582,11967,0,0,0
1507680000000,4783.06,4881.61,4710.0,4821.43,753.429396,1507766399999,3609240.90903919,5895,0,0,0
1507766400000,4821.43,5439.99,4810.16,5430.0,1276.701482,1507852799999,6659759.29119366,8030,0,0,0
1507852800000,5439.99,5846.17,5379.84,5649.98,1879.82762,1507939199999,10597340.30104987,11663,0,0,0
1507939200000,5650.0,5900.0,5580.01,5869.99,970.759046,1508025599999,5533972.4859947,6259,0,0,0
1508025600000,5855.03,5922.3,5400.01,5709.99,1343.523375,1508111999999,7553650.20132813,7452,0,0,0
1508112000000,5710.0,5788.91,5585.19,5760.02,1528.996462,1508198399999,8701914.79553535,9153,0,0,0
1508198400000,5760.0,5774.98,5508.63,5595.0,1429.869376,1508284799999,8041662.31881055,9755,0,0,0
1508284800000,5595.0,5596.0,5037.95,5512.06,2317.804373,1508371199999,12456909.97604373,14824,0,0,0
1508371200000,5513.0,5710.0,5490.26,5683.9,1881.722107,1508457599999,10609368.77338359,11553,0,0,0
1508457600000,5683.31,6110.0,5600.0,6010.01,1972.97722,1508543999999,11486552.1888066,11656,0,0,0
1508544000000,6013.72,6171.0,5850.03,6024.97,1664.307693,1508630399999,10114821.44026351,10182,0,0,0
1508630400000,6003.27,6060.0,5720.03,5950.02,1362.092216,1508716799999,8035415.37335629,8846,0,0,0
1508716800000,5975.0,6080.0,5621.03,5915.93,1812.557715,1508803199999,10607190.98072695,10736,0,0,0
1508803200000,5909.47,5925.0,5450.0,5477.03,2580.418767,1508889599999,14564495.85056032,13075,0,0,0
